left,top,width,height,conf,text,page
961.14,126.57,156.0,67.14,52.57,XWhatsapp(95] ñ££—767/ x£…j. E mete (atrmetea __________,1
2211.0,1521.25,222.0,67.0,62.75,CUARENTENA W©LVEIRIIA 2 REGIONESCON,1
788.75,2450.5,189.25,78.5,56.0,IVEN í7¿(0] K0) CU'WÚ,1
280.29,1256.0,59.71,36.0,41.71,>íofll( Pd l e e l ps,10
369.14,1556.29,160.86,53.71,82.71,Enseña a cantar Himno Nacional en quechua,10
244.76,2126.11,64.31,24.22,89.46,"© Para rar un año más de la independen— cia de nuestro país, la profesora Carmen Vives Velasquez decidió enseñarles a sus alumnos a can— tar el Himno Nacional en quechua, y hasta en asháninka de mane— ra virtual. En sus clases online, ella solo utiliza pizarra, papelógrafo y plumo— lA la melodía junto a sus pequeños, que se conec— tan desde sus celulares o computadores. Carmen, quien tiene más de 15 años de expe— riencia, cuenta que gracias a esta pecu— liar iniciativa ha logrado que sus estudiantes de quinto y sex—",10
662.24,2231.81,63.71,24.8,87.36,"to de primaria del colegio 'Au esto Salazar Bon— Callao) se interesen E aprender las lenguas originarias y se sientan orgullos de ser peruanos. Añadió que inició este desafío en el 2016. ”Impri— mimos hojas con el Himno Nacional en quechua y todos lo comenzamos a estudiar y aprender. Así fue el primer año y al siguiente año, con nuevos estudiantes, nos pusimos el reto de aprenderlo en aimara y también lo hicimos. Y el año pasado lo hicimos en asháninka”, precisó. E n )|",10
794.67,1297.0,68.33,28.0,57.0,CANES r( A N…“ e o,10
1492.82,942.29,59.01,23.53,88.92,"o solo son la alegría de la casa, también se hacen respetar cuando es necesa— rio. una perrita de cinco años, y Toby”, cua— tro años mayor, no tuvieron miedo cuando unos delin— cuentes entraron a robar a la vivienda donde viven aprovechando que toda la familia dormía, en Cho— rrillos. Los dos, con sus ladridos, hicieron correr a Eran las 4:16 de la madrugada cuando M ron por un muro para ingresar al inmueble ubica— do en la avenida Cordillera Occiden— tal, frente a la posta de la urbanización ”Las Delicias de Villa”. Una vez dentro,",10
1117.5,1497.33,76.5,24.67,68.67,& DEL HOSPITAL 'DOS DE MAYO',10
1427.29,1550.14,138.14,53.86,90.14,Médico se sobrepuso y derrotó al virus,10
1029.98,1882.29,63.2,24.98,87.78,"C© no Dolores (53), un médico intensi— vista, logró derrotar al coronavirus. Estu— vo 20 días en la Unidad de Cuida— dos Intensivos (UCI) del Hospital Dos de Mayo', su área de trabajo por 14 años y donde también se contagió. ”Empezó a presentar tos, fiebre y dificultad respirato—",10
993.75,2381.0,89.75,23.0,58.0,Ú]“'] L(oo'oo&o“. E<JluN,10
1471.88,2001.92,60.12,24.69,87.58,"ría en su última guardia, por lo que se le envió al área de Salud Ocupacional. Lamen— tablemente, no evolucionó bien”, dijo Willy Díaz, jefe de",10
1427.0,2206.5,77.75,35.5,45.75,",|nwm(nxa I=Iailto saltes es",10
1867.75,294.25,62.88,23.25,89.0,intentaron apoderar— se de dos cocinas a gas,10
1857.02,910.02,65.18,23.98,87.87,"pero no contaron con que los guardianes de cuatro patas estarían bien des— ciertos y mostrando los colmillos. HUYERON Tu 2 l empezaron a ladrar. que es bien escandalosa, y Toby”, que es pequeño pero bullero, hicieron que nos despertemos y los ladrones vayan sin robar las cosas. Gracias a nuestros perritos se frustró el robo”, contó su dueña Margarita Veliz. Los rateros, temerosos de ser capturados, abandona— ron cerca de la puerta los objetos vaporizados en unos 800 soles. Huyeron por el mismo lugar por donde ingresaron. Esta es la cuarta vez que ”Mica' y Toby' frustran un robo. ”Si no era por ellos, quién sabe y nos lastima— ban. En otros inmuebles de la zona ya han robado. Pedimos mayor presencia policial de noche”, preciso la propietaria. (José",10
1883.95,1844.69,60.36,24.15,89.41,"la UCI de este nosoco— mio. Antes de regresar a su casa en San Miguel, Aurelio agradeció a todo el personal de Salud por las atenciones y confe— só que confiaba en su recuperación, porque sabe cómo trabajan sus colegas. Añadió que ya quiere regresar para estar de nuevo en la primera línea de batalla. (S. Obre— gón) [+]",10
1896.4,2228.8,70.0,22.6,46.8,.¡91 ¡onm.m]nr a ie p,10
2259.0,326.9,118.8,47.9,88.9,DE LIMA Escapa de policías y es atropellado por tráiler,10
2259.94,1042.36,62.62,24.81,87.57,"€) En su intento por escapar de los policías que lo intervinieron cuando cobraba un cheque fal— so dentro de un banco, un presunto delincuente fue atropellado por un tráiler, en el Cercado de Lima. El sujeto habría bus— cado apoderarse de 12 mil soles, al presen— tar el documento en una agencia ubicada entre EEE e Pacasmayo. ”El trabajador de la agencia se dio cuenta y los policías lo atraparon y enmarrocaron. En eso, el ladrón corrió. Quiso huir, pero el tráiler lo embis— ti6”, señalaron testigos del M",10
2168.25,1794.0,178.25,53.0,88.75,Caen con camioneta robada,10
2227.79,2316.85,63.05,24.34,87.74,"Wenceslaus (18) y Washington Mama— ni (28), así como su amigo Roy Torres (35), fueron inter— venidos con una moderna camione— ta, hurtada un día antes, la que esta— ban desmantelando. Todos, presun— tos integrantes de la banda 'Los Federa— cayeron en manos de los agentes de la Disprove en una casa de la asociación de vivienda en Chosica. [J. Yucra) [+]",10
210.57,366.43,164.57,54.43,82.57,BAJOS Corre siete kilómetros alumbra linda bebé,11
667.38,555.01,59.78,24.46,87.59,"Charlotte Wheeler— €9 Smith (31) regresó de una carrera de siete kiló— metros con fuertes dolores abdominales. La examinó un médico, quien le dijo que no era nada grave y que segu— lamente se trataba de un cuadro de gases. Fue a la casa de su novio Dominic Yuit (32) y allí, increíblemente, empezó con labor de parto. Alum— bro a una niña. Ella asegura que jamás supo que estaba embarazada. Hoy Chariot— te y su hija gozan de buena salud. [",11
256.0,1742.63,148.47,32.32,70.53,"n elfin de llevar alegría a grandes y chicos, varioscir— alistan suregre— so.Aunqueaúnnotienen permiso para re abrir sus carpas,enestasFiestas Patria vuelven renova.— disco funciones virtua—",11
291.0,2388.53,61.93,31.87,41.13,"[MEte (e et jjulito, ell testator los Gonerejo los Mliniksinosy les per> d mo d",11
540.0,1749.11,136.56,28.22,82.56,"lesquesepo— drándisfru— tar sin salir de Através transmisio— nes porFa— cabook oZoom,",11
1369.5,159.17,84.17,25.83,91.33,SÁBADO 25 DE JULIO DEL 2020,11
1030.75,565.75,100.25,58.25,61.25,la aire a Vader,11
1098.17,793.83,70.75,23.83,79.75,Expertos en vida e la quedaron sorprendidos al encontrar una rara especie,11
1017.17,1690.17,100.1,25.62,62.59,"payasos, ma— gos, equilibris— tas, bailari— nas y demásar— pistas se prepa.— ran para sorpren.— der con. sus espec— titulares presenta— ciones.Ellosprome— ten hacer olvidar los problemas hastate más preocupado es—",11
1083.32,2280.08,37.52,25.96,54.08,|oa¡: 10 to]yl<1th uu dl un l Ik S |u¡ olette ell pue ell 22 los a f em lt s pr ell ee o a 2 a,11
1482.18,563.05,62.34,24.71,79.6,"de cangrejo llamada Raka— sal, cuya cabeza ( 30 a sido con el casco que usaba 'Dar— ob de la saga de ciencia fic— ción 'La guerra de las galaxias” Este crustáceo mide 36 centimetros %upor lo gene— ral vive a profundidades que fluctúan entre los 957 y mil ta la ese los pescadores artesanales lo conocen como cucara— cha acuática” [<)",11
1802.5,1932.0,88.75,40.5,45.25,ie &í')1 I'O)$TQ 30,11
1914.6,321.0,177.8,53.8,91.2,Descubren a gatita robando dinero,11
1873.43,760.47,55.73,25.13,88.13,"(D es una gatita que encontró hogar en un bar de Anata [Rusia). Allí la alimentaban y daban cari— ño. Sin embargo, la pequeña felina no se portó bien con",11
1837.0,1002.38,28.15,32.23,64.69,1 :…' ] '¡'t| r | | 1 'X¿/'¡r ¡'| D /r Lo)nnn,11
1804.6,1077.6,81.0,24.0,80.6,CIRCO DE LA CHOLA CHABUCA:,11
1805.0,1135.6,40.2,19.2,88.2,"— Desde 10 soles, en",11
1805.0,1262.0,45.4,30.8,88.6,": Desde 15 soles, en",11
1809.52,1553.85,67.8,23.65,75.54,"— CIRCULA ” TARUMBA: Desde 20 : soles, en Joinnus. OGIVAL CIRCUS: — soles, al — 949—417—017. : CIRCO ACAPULCO: A 10 ' soles, al 921—777—386. ; CIRCO HERMANOS — JUÁREZ: Desde 10 soles, al .993—697—564. ¡ CIRCO RUMANO:A 25 :soles [pago por familia), al .984—321—950.",11
1872.83,1833.0,52.33,28.33,86.17,":15 soles (pago por familia), al",11
1610.6,2046.6,140.8,24.2,79.6,&MEDICOS QUE VENCIERON AL CORONAVIRUS,11
1934.71,2083.14,137.43,54.86,90.86,Reconstruyen rostro de niña de 8 años,11
1478.72,2537.52,55.56,22.32,89.12,"A un mes de haber ven— : sido el coronavirus, un equipo de médicos del Ins— título Nacional de Salud del Niño de Brea reconstru—",11
1881.7,2382.17,61.83,24.62,90.51,"yó de manera exitosa el rostro de una niña de 8 años, quien sufrió frac— tras múltiples al caer en una pila de ladrillos en un reservorio de agua de San Marcos [Cajamarca). La operación duró siete horas seguidas y partici— paron doctores del servicio de Cirugía de Cabeza y Cue— llo y Maxilofacial, como Carlos Salazar, quien estuvo en cuidados intensivos del",11
2271.43,631.37,59.43,23.78,87.74,"los propietarios y trabajado— [ es e Cámaras de seguridad la grabaron cuando se puso sobre el maletín donde se guarda el dinero. Se ve cuan— do coge con su hocico varios billetes y sale despavorida del local. El video fue subido a Insta— gram, donde aseguran que fue 'pillada con las patas en",11
2248.28,1525.18,116.59,25.66,71.85,"[ pectador. ALEGRÍA SONRISAS ”Soloque— remoslle— varalegría y arrancarson— risa sen medio deestapan.— ( d e e brávirusque nos detenga ylatradición circ ense este 28dejuliose— guirá,respe— dandoles pro— , tocolos”, di— . joaTromeDixon Pérez, _ presidente de la Asocia— . cióndePropietarios, Em— _ presagios y Representan— . tesdeCircosdelPerú(As— perc). ”Sabemos queesta.— mos pasando pornues— — trapeorcrisis,perocon ayuda del públicocon— fiamos en que saldre— mosadelante”, precisó. (Jordan Arce) o",11
2253.64,2383.08,64.8,25.0,88.2,"Hospital Dos de Mayo, y el doctor Luis Ticon Zegarra, quien también luchó contra el virus al permanecer inter— nado durante cinco semanas en la Villa Panamericana (Villa El Salvador]. ”Se unió cada hueso con placas y tornillos de titanio para lograr que la anato— mía de la paciente quede igual que antes del trauma facial”, señalaron los espe— cialistas. [<",11
613.89,297.67,287.33,66.22,60.44,LAACTAZBENISSEDIBÓSACPPTAQUE LE FALTA 'CJNUUE IP1EIR© ILSE /AQEGUJRA(©UJE SINSFGLRO HACOMIDOMENÚ,12
421.25,411.75,175.25,67.0,65.0,IMIEÍRUA*I IT© II]E (C1H/A(CÁL/A(CJAY(©,12
389.7,1229.6,131.7,33.3,44.0,155 E a Inmenso lDa'lasensac¡oni e mu1erceremomosa / peroisuespiritulibrelallevatare: ra,12
223.06,1662.06,147.82,40.12,49.29,ta e eo &Waq£e£lqnge'ñ pop.úlam? Laquemepuso…elco &GW Escobafina: e a E ta sf¿o Me'parec¡0entranable* €5¡qíondciñod&unqprggpn_hf&;ymadeño) hablaba w hablaba x con avayan1“,12
245.29,2081.71,173.86,37.0,66.14,Pregunta lbully|ng (Teí¡íicasfé? X eúalta'deiealIejmesobralde icorrea” I€?j'mgxqqyd?efuamm,12
